name,tests,cases,deaths,todayCases,todayDeaths,recovered,active,casesPerOneMillion,deathsPerOneMillion,testsPerOneMillion,population
East Chicago,7282,73273,292,310,325,283,653,846,334,923,597
Edison,3224,22271,251,198,486,60,773,494,230,784,494
Chesapeake,9222,28213,280,413,969,321,884,906,18,773,592
Newport Beach,3471,19872,255,499,188,930,629,596,202,748,697
Fairmont,1358,99744,238,343,774,837,772,805,690,425,196
Victorville,8743,78879,259,650,541,706,908,585,963,916,365
Globe,3943,22659,360,601,545,39,532,138,965,32,480
Pontiac,6944,61956,139,641,912,954,829,467,599,297,166
Council Bluffs,6470,47500,197,775,350,788,436,704,114,780,505
Sun Valley,9929,45972,300,720,950,271,347,616,153,713,761
Rapid City,8753,96658,17,49,601,319,36,586,269,871,757
Dearborn,6532,12375,284,92,724,783,48,763,212,59,556
Lake Wales,5849,66280,119,533,513,622,152,165,208,828,277
Waterville,8343,29371,178,901,528,392,937,221,949,687,935
Peekskill,1218,57039,274,202,888,475,725,128,771,471,70
Johnson City,9931,49163,57,520,379,710,268,729,195,358,913
Texarkana,7598,92601,72,291,353,751,2,113,206,411,482
Walnut Creek,6817,95848,59,852,852,566,477,608,287,74,316
Pomona,5497,67511,33,230,401,764,580,270,532,816,239
Plains,4107,31995,292,454,163,913,967,262,594,512,304
