name,tests,cases,deaths,state,todayCases,todayDeaths,recovered,active,casesPerOneMillion,deathsPerOneMillion,testsPerOneMillion,population
Buena Park,1385,94585,264,New Hautean,567,932,935,413,890,466,576,124
Fort Benton,5373,53850,11,Waynesmithhampton,786,130,355,784,797,483,834,722
Flint,8214,50766,114,Chilno,616,460,903,759,93,926,258,164
Sun Valley,1048,65369,295,Moose Gafcarl,249,637,854,105,650,997,582,963
Fresno,8399,29230,330,Mattown,851,293,479,868,951,919,860,600
Tillamook,6512,15277,253,El Colpon Upon Grovethton,874,666,436,770,792,455,419,95
Daytona Beach,7770,67644,130,Grand Kyabellmag,445,337,346,879,556,909,381,280
Kodiak,5213,56177,21,Prince Becross Aux Queel,51,608,922,947,597,634,473,728
Bristol,5872,73599,299,Estesul,645,550,782,874,23,849,738,338
Wilmington,2426,86475,92,Grand Milom,219,782,627,772,961,163,12,406
Fort Walton Beach,2207,63955,364,Li,249,358,844,574,5,782,528,220
Seaside,3083,47811,88,Prince Vernhopebourne,24,579,762,123,118,308,809,59
Pensacola,3653,10946,86,Darlake Forest,825,781,468,849,965,890,343,449
Port Gibson,517,29860,327,Port Endlda,473,903,847,374,364,967,285,969
Rockland,1352,58401,236,Stalborneearl,670,54,457,116,843,952,720,575
Fort Pierce,8550,94954,331,Port Chardwy,522,167,412,750,586,414,407,497
Logan,5427,46198,362,Thalldsorsle,654,894,974,945,749,211,756,967
Fort Valley,5493,17946,311,Aylshden,749,983,102,347,157,706,635,548
Berlin,3095,97285,21,New Sleroynen,243,740,627,39,557,695,896,212
Fall River,6917,99222,122,La Thaxtedlean,113,137,22,197,518,66,19,798
